State or region,Country,Region,Access,Years disclosed,Population,Population year,Accounting year,Boundary,Inventory externally verified?,Primary protocol/methodology,Comment on protocol/methodology,Gases included: CO2,Gases included: CH4,Gases included: N2O,Gases included: HFCs,Gases included: PFCs,Gases included: SF6,Gases included:NF3,Reported total emissions,Location,Water 2014 - Number of drivers
Helsinki-Uusimaa,Finland,Europe,Public,2016 and 2017,1638293,2016,2015,Geopolitical Boundary,No,Other,"Other: Regionally developed methodology equivalent to GPH (and IPCC guidelines). KASVENER model is currently used in many municipalities in Finland to assess the direct emissions at the region of a municipality. The calculation model treats with energy production, industrial processes, traffic, agriculture, forestry, waste management, and domestic energy usage. Sorry the tool and this information is available only in Finnish.    Uudenmaan kasvihuonekaasupäästöt on laskettu samalla menetelmällä, jota käytetään pääkaupunkiseudun vuosittaisessa kasvihuonekaasujen päästöseurannassa. Laskenta perustuu Suomen Kuntaliiton ja Suomen ympäristökeskuksen kasvihuonekaasu- ja energiatasemalli Kasveneriin, joka noudattaa IPCC:n metodiikkaa ja käyttää Suomen päästöinventaarien laskentaparametrejä. Laskennassa otetaan huomioon kolme tärkeintä kasvihuonekaasua: hiilidioksidi (CO2), metaani (CH4) ja dityppioksidi (N2O). Tulokset esitetään hiilidioksidiekvivalentteina, jolloin metaani- ja typpioksiduulipäästöt muutetaan ilmastonlämmityspotentiaaliltaan vastaavaksi määräksi hiilidioksidia ja lisätään hiilidioksidipäästöihin. Tuloksia on Kasvener-laskennan jälkeen muokattu sähkönkulutuksen ja lämmityksen päästöjen osalta. Laskentamenetelmää kehitettiin Pääkaupunkiseudun ilmastostrategia 2030:n päästölaskentoja varten (YTV 2007). Strategian ilmestymisen jälkeen laskentaa muutettiin vielä sähkölämmityksen ja sähkönkulutuksen valtakunnallisen päästökertoimen laskennan suhteen (Lounasheimo 2009). Ilmastostrategian johtoryhmän nimen mukaan menetelmää on kutsuttu Hilma-metodiksi. Tärkein uudistus Kasveneriin verrattuna on sähkön ja lämmön yhteistuotannon päästöjen jyvittäminen hyödynjakomenetelmällä, jossa yhteistuotannosta syntyvä hyöty jakautuu kummallekin energiatuotteelle. Yhteistuotannon polttoaineet ja päästöt jaetaan sähkölle ja lämmölle niiden vaihtoehtoisten hankintamuotojen polttoaineiden kulutuksen suhteessa. Hyödynjakomenetelmä suosii perinteistä energiamenetelmää enemmän kaukolämmön yhteistuotantoa. Energiamenetelmässä polttoaineet ja päästöt jaetaan sähkölle ja lämmölle niiden tuotantomäärien suhteessa. Toinen keskeinen uudistus, josta sovittiin ilmastostrategiatyön yhteydessä, on kulutussähkön päästöjen laskeminen käyttämällä valtakunnallista päästökerrointa. Kerroin lasketaan jakamalla Suomen sähköntuotannon päästöt kokonaiskulutuksella (pois lukien sähkölämmityksen päästöt ja kulutus). Tuontisähkö on laskennassa päästötöntä. Sähköntuotannon päästöjen vuosivaihteluiden tasaamiseksi kertoimelle lasketaan viiden vuoden liukuva keskiarvo, jota käytetään päästölaskennassa. Vuosivaihtelut johtuvat muun muassa säätilasta, vesivoiman saatavuudessa pohjoismaisilla sähkömarkkinoilla, talouden suhdanteista johtuvasta sähkön kysynnän vaihtelusta, sähkön tuonnista ja viennistä sekä sähkön ja päästöoikeuksien hinnoista. Vuonna 2012 kulutussähkön valtakunnallinen päästökerroin oli 78 t CO2-ekv./GWh ja viiden vuoden keskiarvo 153 t CO2-ekv./GWh (kuva 58). Kerroin laski edellisvuodesta huomattavasti. Vähennys johtui sähkön nettotuonnin huomattavasta kasvusta ja hyvästä vesivoiman saatavuudesta (Energiateollisuus 2013a). Valtakunnallisen kertoimen käyttöä on perusteltu tulosten vertailtavuuden takia. Kunnissa tai kaupungeissa tuotettu sähkö ei rajaudu tietylle alueelle, vaan se myydään pohjoismaiseen sähköpörssiin, josta vastaavasti sähköyhtiöt ostavat sähköä ja myyvät edelleen asiakkailleen. Kaupunkien alueella toimivat voimalaitokset eivät välttämättä ole kaupunkien omassa omistuksessa tai eivät tuota kaupungin kulutukseen nähden tarpeeksi sähköä. Toisaalta kuntien omistuksessa olevat energiayhtiöt voivat omistaa osuuksia muualla Suomessa ja pohjoismaissa toimivista voimalaitoksista. ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,12113000,"(60.2198, 25.2716)",
Oppland,Norway,Europe,Public,2016 and 2017,188926,2016,2015,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Norwegian national inventory report attributed to regions by Statistics Norway and Norwegian Environmental Agency. ,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,1193000,"(61.5492, 9.7166)",13
Scotland,Scotland,Europe,Public,2016 and 2017,5300000,2011,2015,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Scotland's greenhouse gas inventory covers a wide variety all anthropogenic sources of greenhouse gas emissions and therefore a wide variety of emissions sources which require different approaches to their estimation. There are a large number of data sources used in its compilation, obtained from Government statistics, regulatory agencies, trade associations, individual companies, surveys and censuses. The methods used to compile the greenhouse gas inventory are consistent with international guidance on national inventory reporting from the Intergovernmental Panel on Climate Change. Most emission estimates are compiled by combining activity data (such as fuel use) with a suitable emission factor (such as amount of CO2 emitted per unit of fuel used). Estimates of emissions from the industrial sector are often compiled based on plant-specific emissions data. Emissions from some sectors are based on more complicated models - such as the model used to estimate emissions from landfill, and the model used to estimate the carbon dynamics in soils when trees are planted. Much of the data on net emissions from agriculture and related land use, land use change and forestry emissions are based on modelled data for Scotland, which are consistent with, but not constrained to, the UK totals and thus are known as ""bottom up"" estimates. Many of the remaining emissions sources within the inventory have been collated on a ""top down"" approach where estimates of emissions have been apportioned to Scotland using proportions of energy use in the Department of Business, Energy and Industrial Strategy (BEIS) Publication ""Digest of UK Energy Statistics (DUKES)"". This approach is prompted by data availability on emissions being more limited at the sub-UK level. The present greenhouse gas inventory for the period 1990-2015 was compiled in accordance with the 2006 IPCC Guidelines for National Greenhouse Gas Inventories (IPCC, 2006).",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),48051092,"(56.4993, -4.2026)",
Basque Country,Spain,Europe,Public,2016 and 2017,2171886,2016,2015,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Compilation from different statistic data available in the Basque Country (e.g. Energy Balance, Residues Inventory, European GHG Trading Scheme reportsâ€¦) completed with some inquests to main data sources. Imported electricity emissions are calculated from energy production statistical data. ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,19363627,"(42.989, -2.6189)",62
Alberta,Canada,North America,Public,2016 and 2017,4252900,2016,2015,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Alberta obtains its provincial emissions total from Canada's National Inventory Report submission to the United Nations. Part 2 of the National Inventory Report explains quantification methodologies for reported emissions, which follow the UN IPCC 2006 Guidelines. Electricity imported from other jurisdictions is not accounted for.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),274000000,"(53.9393, -116.5765)",5
Minnesota,USA,North America,Public,2016 and 2017,5485238,2015,2014,"Other: The MPCA GHG Emission Inventory is organized on a spatial or geographical basis; GHG emissions that physically occur within the boundaries of the state of Minnesota are tracked, with exceptions for emissions associated with net electricity imports and with aviation. Estimates of statewide GHG emissions include emissions from out of state electricity generation that is consumed within Minnesota. Total electricity consumption in Minnesota, net electricity generation in the state and all associated transmission and distribution (T&D) line losses are estimated . Estimates include emissions associated with jet fuel loaded onto to aircraft at Minnesota airports in Minnesota totals. A major international airline hub is located in Minnesota and data are not available to estimate the number of miles flown by commercial aircraft within Minnesota airspace. ",No,Other,"Other: IPCC and EPA provide methodology, with changes to division of emissions to economic sectors. Emissions are estimated for all years from 1970 to 2012. With a few exceptions, the methods used to develop these estimates are derived from the following sources: - US Environmental Protection Agency (2016) Inventory of US greenhouse gas emissions and sinks: 1990-2014. - California Air Resources Board, California Climate Action Registry, ICLEI, Local Governments for Sustainability, and The Climate Registry (2010) Local government operations protocol for the quantification and reporting of greenhouse gas emissions inventories, version 1.1. - Intergovernmental Panel on Climate Change (2006) IPCC guidelines for national greenhouse gas inventories. Vol. 1-4. - Radian Corporation (1996) Methane emissions from the natural gas industry. Volumes 1-15. Prepared for the US Environmental Protection Agency and the Gas Research Institute. - The Climate Registry (2008) General reporting protocol, version 1.1. - Minnesota Pollution Control Agency (January, 2012) Greenhouse gas emissions in Minnesota: 1970 â€“ 2008.  Imported electricity emission calculation: Total net generation needed to service Minnesota demand is set equal to total consumption less T&D line losses. Out-of-state net generation is estimated as the difference between total net generation needed to service Minnesota electrical demand and in-state net generation. The MPCA includes these emissions in the GHG Emission Inventory, using a nine-state and province (Wisconsin, Iowa, South Dakota, North Dakota, Nebraska, Kansas, Missouri, Wyoming, and Manitoba) average emission rate per megawatt-hour (MWh) of electricity generated. Electric transmission and distribution losses are factored into the estimate of emissions for imported power.  A technical support document, ""Greenhouse Gas Emissions in Minnesota: 1970-2008,"" published in 2012, provides a more detailed discussion on the calculation methodology. The narrative includes inventory design principles, boundaries, data sources, and methods. An appendix includes detailed methodology tables listing the estimation methodology source, emission factor source, activity data source, and fuel energy content for each GHG emission and and emission source. Emission factors and global warming potentials are also included in appendices. This document is available at https://www.pca.state.mn.us/sites/default/files/p-gen4-08.pdf ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,144650000,"(46.72953, -94.6859)",46
Western Cape,South Africa ,Africa,Public,2017,6290000,2015,2013,Geopolitical Boundary,No,Other,"Other: It is based partly on the Global Protocol on community-scale GHG emissions, but is a simple consumption exercise by fuel type and sector and then emissions are based on South African conversion factors. A full methodology is explained in the Western Cape energy consumption and CO2 emissions database report  - https://www.westerncape.gov.za/eadp/content/western-cape-energy-consumption-and-co2e-emissions-database-reports-2012   This report is updated every 2 years or depending on the availability of data.  ",CO2 (Carbon dioxide),,,,,,,36345753,"(-33.295, 21.8569)",
Jalisco,Mexico,Latin America,Public,2016 and 2017,8055985,2016,2014,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Este inventario sigue la metodología de las Directrices del Panel Intergubernamental sobre el Cambio Climático (IPCC) de 2006 para los inventarios nacionales de gases de efecto invernadero,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,28212000,"(20.6598, -103.3494)",120
Upper Austria,Austria,Europe,Public,2017,1453948,2016,2015,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,annualy reports for all nine federal provinces based on the national inventory under UNFCCC,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),22330000,"(48.02928, 13.9724)",43
North Denmark Region,Denmark,Europe,Public,2017,587533,2016,2010,Geopolitical Boundary,No,Other,Other: No details. The data for the CO2 emissions in the North Region Area is collected and handled by the 11 municipalities in the North Region area,CO2 (Carbon dioxide),CH4 (Methane),,,,,,7933128,"(56.8399, 9.4931)",
