Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,Type of target,Sector,Target Start Year,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Estimated business as usual absolute emissions in target year (metric tonnes CO2e),Base year emissions per intensity unit (metric tonnes CO2e per denominator),​Intensity unit (emissions per),Percentage of target achieved so far,Comment,Population,Population Year,City Location,Last update,Water 2014 - Number of drivers
2018,54493,Kristiansand Municipality,Kristiansand,Norway,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Absolute target,,,,,,,,,,,,91440,2017,"(58.1599, 8.0182)",2019-06-06T13:19:47.747,
2018,36041,Municipality of Belém,Belém,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,1393399,2010,"(-28.2423, 28.3111)",2019-06-06T13:19:47.747,227
2018,60318,Prefeitura de Porto Velho,Porto Velho,Brazil,Latin America,CDP Cities,public,Absolute target,,,,,,,,,,,,428527,2010,"(-20.3338, -40.3776)",2019-06-06T13:19:47.747,
2018,54409,City of Espoo,Espoo,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Absolute target,Transportation,2017,,,,2030,,,,,The Sustainable Development program of Espoo states that the city aims to have an emission free public transportation system by 2030.,279044,2017,"(60.2055, 24.6559)",2019-06-06T13:19:47.747,
2018,54084,City of Guelph,Guelph,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Total city-wide emissions,2018,2016,1156679,100,2050,,,,0,,131794,2016,"(43.55, 80.25)",2019-06-06T13:19:47.747,47
2018,54497,City of Wroclaw,Wroclaw,Poland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2015,1990,4422767,20,2020,,,,,,638600,2017,"(51.1079, 17.0385)",2019-06-06T13:19:47.747,29
2018,826239,Alcaldia de Sopó,Sopó,Colombia,Latin America,CDP Cities,public,No target,,,,,,,,,,,,27932,2017,"(4.9075, -73.9384)",2019-06-06T13:19:47.747,149
2018,831618,Yaoundé 4,Yaoundé 4,Cameroon,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,,,,,,,,,,,792546,2017,"(3.8667, 11.5167)",2019-06-06T13:19:47.747,
2018,60214,Liepāja City Council,Liepaja,Latvia,Europe,"CDP Cities, Union of the Baltic Cities",public,,,,,,,,,,,,,69180,2017,"(56.5167, 21.0167)",2019-06-06T13:19:47.747,
2018,73282,Municipality of Ilha de Mozambique,Ilha,Mozambique,Africa,CDP Cities,public,No target,,,,,,,,,,,,,0,"(-15.0364, -40.7323)",2019-06-06T13:19:47.747,
2018,69973,Alcaldia de Barrancabermeja,Barrancabermeja,Colombia,Latin America,CDP Cities,public,No target,,,,,,,,,,,,191.704,2016,"(7.06066, -73.8724)",2019-06-06T13:19:47.747,146
2018,54459,City of Reykjavík,Reykjavík,Iceland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2009,2007,340000,73,2050,,,,0,,123246,2017,"(64.1265, -21.8174)",2019-06-06T13:19:47.747,
2018,831812,Municipalidad de Puerto Barrios,Puerto Barrios,Guatemala,Latin America,CDP Cities,public,No target,,,,,,,,,,,,116000,2017,"(-88.5944, 15.7278)",2019-06-06T13:19:47.747,
2018,54692,Prefeitura Municipal de Sertãozinho,Sertãozinho,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,No target,,,,,,,,,,,,122643,2017,"(-21.1451, -47.9947)",2019-06-06T13:19:47.747,213
2018,31108,City of Houston,Houston,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,No target,,,,,,,,,,,,2349993,2016,"(29.7602, -95.3694)",2019-06-06T13:19:47.747,
2018,74423,"City of Key West, FL",Key West,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2009,2005,400000,15,2015,,,,,Haven't done 2015 inventory yet,26990,2016,"(81.78, 24.5551)",2019-06-06T13:19:47.747,
2018,42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Business as usual target,Residential buildings,,2015,897109,,,1580735,,,,,2239191,2010,"(-0.2333, -78.5167)",2019-06-06T13:19:47.747,
2018,826209,Aipromades Lago de Chapala,Chapala,Mexico,Latin America,CDP Cities,public,No target,,,,,,,,,,,,601263,2015,"(20.2962, -103.191)",2019-06-06T13:19:47.747,120
2018,32550,City of Denver,Denver,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2015,2005,10410000,80,2050,,,,8,"Denver is transitioning its past GHG inventories to be GPC compliant.  However, we have not yet converted the 2005 baseline inventory to its GPC equivalent.  As the majority of emissions come from electricity generation, transportation, and building energy use, the core of the Basic emissions will remain the same.  For this reporting cycle, Denver is using its previous methodology, but can update all numbers later in 2018",693292,2016,"(39.7376, -104.985)",2019-06-06T13:19:47.747,46
2018,54110,City of Santa Monica,Santa Monica,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,1990,1386640,0,2050,,,,,,92478,2016,"(34.0219, -118.481)",2019-06-06T13:19:47.747,
2018,54253,Wollongong City Council,Wollongong,Australia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,211201,2017,"(-34.4278, 150.893)",2019-06-06T13:19:47.747,
2018,60898,Ayuntamiento de Naucalpan de Juárez,Naucalpan de Juárez,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,,,,0,0,,,,,0,,,0,"(19.4631, -99.2453)",2019-06-06T13:19:47.747,117
2018,36494,Comune di Padova,Padova,Italy,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,,2005,,20,2020,,,,,"In addition to the emission-reducing activities mentioned below, the emission-reducing activities on local government level are part of the total reduction aim of 20%.",211210,2017,"(45.4064, 11.8768)",2019-06-06T13:19:47.747,
2018,58797,Hørsholm Kommune,Hørsholm,Denmark,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,2011,2010,165372,20,2020,,,,100,goal reached in 2013.,24856,2015,"(55.8835, 12.5049)",2019-06-06T13:19:47.747,
2018,50398,Ciudad de Juárez,Juárez,Mexico,Latin America,CDP Cities,public,No target,,,,,,,,,,,,1391180,2015,"(31.6904, -106.425)",2019-06-06T13:19:47.747,90
2018,58489,Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2012,312026,95,2050,,,,,,50246,2017,"(55.6563, 12.2898)",2019-06-06T13:19:47.747,
2018,60340,Prefeitura de Rio Verde,Rio Verde,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,217.048,2017,"(-17.9685, -50.4892)",2019-06-06T13:19:47.747,213
2018,60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,59.297,2017,"(-23.8081, -46.0599)",2019-06-06T13:19:47.747,
2018,60140,City of Nakuru,Nakuru,Kenya,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Business as usual target,,,,,,,,,,,,2038945,2017,"(-0.30309, 36.08)",2019-06-06T13:19:47.747,
2018,31169,Government of Hong Kong Special Administrative Region,Hong Kong,"China, Hong Kong Special Administrative Region",East Asia,"CDP Cities, C40",public,Intensity target,Other: Total,2014,2005,,50,2020,,0,Metric tonnes of CO2e per unit GDP,28,To reduce carbon intensity by 50-60% target by 2020 using 2005 as the base,7391700,2017,"(22.2881, 114.14)",2019-06-06T13:19:47.747,
2018,36274,Comune di Bologna,Bologna,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Stationary energy (buildings),2012,2005,1761868,21,2020,,,,36.06,,389.261,2017,"(44.4938, 11.3387)",2019-06-06T13:19:47.747,
2018,60633,La mairie de Bujumbura,Bujumbura,Burundi,Africa,CDP Cities,public,No target,,,,,,,,,,,,1000000,2017,"(-3.36137, 29.3599)",2019-06-06T13:19:47.747,156
2018,35873,Municipality of Medellín,Medellín,Colombia,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,2464.322,2015,"(6.22729, -75.5735)",2019-06-06T13:19:47.747,146
2018,49330,Kansas City,Kansas City,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2008,2000,11300000,30,2020,,,,13,,467007,2013,"(39.1429, -94.573)",2019-06-06T13:19:47.747,46
2018,54529,City of Leicester,Leicester,United Kingdom of Great Britain and Northern Ireland,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,,1990,2388260,50,2025,,,,82,,349500,2016,"(52.6333, -1.1333)",2019-06-06T13:19:47.747,
2018,73413,Commune de Cocody,Cocody,Côte d'Ivoire,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Intensity target,,,,,,,,,,,,800,2014,"(5.3602, -3.9674)",2019-06-06T13:19:47.747,
2018,50549,City of Fort Worth,Fort Worth,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,833000,2015,"(32.7555, -97.3308)",2019-06-06T13:19:47.747,
2018,60104,Cambridge City Council,Cambridge,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,No target,,,,,,,,,,,,124919,2017,"(52.2077, 0.16353)",2019-06-06T13:19:47.747,
2018,36426,Riga City,Riga,Latvia,Europe,"CDP Cities, Union of the Baltic Cities",public,Absolute target,Total city-wide emissions,2013,1990,4295,53.3,2020,,,,55,"Estimated overall emissions have decreased by 55 % in 2014, as compared to 1990.Estimated overall emissions have decreased by 15.5 %, as compared to 2010. The decline has been steepest in end-user fuel consumption (46.9 % as compared to 2010), especially in the industrial sector. The second largest decrease in emissions has been in the district heating system. In the other sectors (electrical power consumption and motor vehicles) the changes in emissions between 2010 and 2014 have been but negligible.Sources of information:Riga Smart City Sustainable Energy Action Plan 2014-2020 - http://www.rea.riga.lv/files/RIGA_SMART_CITY_SEAP_2014-2020_EN.pdf",637971,2017,"(56.9496, 24.1052)",2019-06-06T13:19:47.747,19
2018,31110,Roma Capitale,Roma,Italy,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,2876.614,2017,"(41.53, 12.2858)",2019-06-06T13:19:47.747,
2018,58395,Bærum Kommune,Bærum,Norway,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Total city-wide emissions,2030,2009,237628,40,2030,,,,7,,125708,2017,"(59.9205, 10.5938)",2019-06-06T13:19:47.747,13
2018,60218,Municipality of Karlskrona,Karlskrona,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, WWF",public,No target,,,,,,,,,,,,,0,"(56.1616, 15.5866)",2019-06-06T13:19:47.747,
2018,31113,City of Yokohama,Yokohama,Japan,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Other,2014,2005,3350000,,2020,,,,87,Commercial,3731096,2017,"(35.4437, 139.638)",2019-06-06T13:19:47.747,
2018,54459,City of Reykjavík,Reykjavík,Iceland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2009,2007,340000,35,2020,,,,0,,123246,2017,"(64.1265, -21.8174)",2019-06-06T13:19:47.747,
2018,57616,"City of Lake Forest, IL",Lake Forest,United States of America,North America,CDP Cities,public,Absolute target,,,2007,,20,2015,,,,,"After reaching our target, our current goal is to decrease emissions 2% annually.",19375,2010,"(42.2586, -87.8406)",2019-06-06T13:19:47.747,42
2018,54443,Landeshauptstadt Magdeburg,Magdeburg,Germany,Europe,CDP Cities,public,Absolute target,,,2012,,86,2050,,,,,GHG sources towhich the target applies:CO2-City-wideSolutions of the municipal council,238000,2015,"(52.1205, 11.6276)",2019-06-06T13:19:47.747,36
2018,43905,City of San Antonio,San Antonio,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,1469845,2015,"(29.4241, -98.4936)",2019-06-06T13:19:47.747,
2018,31177,Salt Lake City,Salt Lake City,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,,2009,4943904,80,2040,,,,,,193744,2016,"(40.7608, -111.891)",2019-06-06T13:19:47.747,
2018,31182,City of San Francisco,San Francisco,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2000,1990,6201949,40,2025,,,,29,No comment,870887,2016,"(37.7749, -122.419)",2019-06-06T13:19:47.747,
2018,35393,City of St Louis,St Louis,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,,2005,8081418,80,2050,,,,11,,319294,2010,"(38.627, -90.1994)",2019-06-06T13:19:47.747,46
