Year,Land-Use-Change,H&N,BLUE,CABLE-POP,CLASS-CTEM,CLM5.0,DLEM,ISAM,JSBACH,JULES,LPJ-GUESS,LPJ ,LPX-Bern,OCN,ORCHIDEE-CNP,ORCHIDEE-Trunk,SDGVM,SURFEX,VISIT,MMM (multi-model mean)
1959,1.811,0.998,2.623,3.476,0.972,2.059,2.356,1.867,1.202,1.184,1.991,1.482,1.083,2.338,1.499,1.139,2.331,0.868,2.790,1.790
1960,1.673,1.024,2.321,3.193,1.009,1.792,2.570,2.005,1.157,1.065,2.095,1.188,1.164,2.424,1.339,1.131,2.910,0.874,2.398,1.770
1961,1.608,1.055,2.161,3.149,1.104,1.945,1.399,1.362,1.109,0.871,1.591,1.135,0.793,1.873,1.008,0.985,2.174,0.626,2.354,1.467
1962,1.567,1.062,2.071,3.272,0.972,1.966,1.662,1.339,1.246,1.112,1.568,1.151,0.785,2.054,0.983,1.002,1.714,0.147,2.548,1.470
1963,1.514,1.019,2.009,3.383,0.796,1.993,1.482,1.115,1.343,1.355,1.037,0.979,0.282,1.789,0.850,1.015,2.651,-0.007,2.347,1.401
1964,1.464,0.965,1.963,3.095,0.765,1.910,1.736,1.343,1.271,1.278,1.563,1.099,0.691,1.811,1.121,0.801,1.542,0.143,2.306,1.405
1965,1.418,0.908,1.928,3.181,1.078,1.464,1.485,1.581,1.432,1.451,1.596,0.835,0.767,1.812,1.196,1.000,0.583,0.128,2.432,1.376
1966,1.376,0.849,1.903,2.864,1.145,1.680,1.438,1.290,1.370,1.240,1.315,1.102,0.656,1.645,1.090,1.133,2.086,0.195,2.391,1.415
1967,1.355,0.831,1.879,3.575,0.693,1.738,1.556,1.306,1.268,1.108,1.712,1.134,0.933,1.701,0.868,1.008,2.138,0.056,2.464,1.454
1968,1.354,0.846,1.862,3.236,0.935,1.796,1.634,1.302,1.386,1.005,2.048,1.090,0.822,1.668,1.196,0.951,2.760,-0.008,2.341,1.510
1969,1.363,0.884,1.841,2.720,1.131,1.602,1.612,1.187,1.361,1.193,1.890,1.167,0.701,1.696,0.876,1.007,1.411,0.095,2.352,1.375
1970,1.322,0.909,1.735,3.006,1.038,1.485,1.446,1.426,1.341,1.037,1.584,1.169,0.763,1.708,1.078,0.992,1.129,0.208,2.442,1.366
1971,1.285,0.897,1.673,3.198,1.073,1.291,1.474,1.004,1.237,1.121,2.069,1.298,0.960,1.474,1.289,0.997,2.545,-0.084,2.465,1.463
1972,1.247,0.860,1.634,3.024,1.256,1.217,1.238,1.101,1.236,1.117,1.808,1.156,0.826,1.561,0.970,0.887,1.296,-0.271,2.280,1.294
1973,1.219,0.843,1.596,2.471,1.196,1.378,1.357,1.135,1.236,0.811,1.853,1.127,0.674,1.271,0.863,0.815,3.023,0.148,2.394,1.359
1974,1.179,0.802,1.557,3.442,1.386,1.471,1.576,0.730,1.344,1.004,2.476,1.356,0.944,1.696,1.429,1.145,2.977,-0.110,2.389,1.578
1975,1.148,0.782,1.514,3.652,1.010,1.398,1.155,0.938,1.318,1.093,1.169,1.196,0.506,2.072,1.240,1.024,2.119,0.084,2.425,1.400
1976,1.130,0.767,1.494,3.095,1.008,1.352,1.800,1.032,1.105,1.277,1.320,1.365,0.748,1.840,1.250,0.952,2.303,-0.428,2.579,1.413
1977,1.106,0.743,1.469,2.926,1.148,1.518,1.165,1.281,1.232,0.755,1.060,1.110,0.238,1.500,0.756,0.954,1.218,-0.165,2.461,1.197
1978,1.069,0.690,1.449,2.903,1.469,1.426,1.549,1.171,0.871,0.857,2.159,1.284,0.950,1.661,1.184,0.995,2.843,0.040,2.501,1.492
1979,1.043,0.657,1.428,3.015,1.060,1.251,1.422,1.270,1.740,1.386,1.489,0.940,0.760,1.771,1.029,1.113,1.059,-0.058,2.542,1.362
1980,1.086,0.624,1.548,3.104,0.927,1.422,1.245,1.290,1.327,1.155,1.050,0.982,0.739,1.726,1.107,1.057,0.819,0.021,2.804,1.298
1981,1.096,0.605,1.586,2.865,1.375,1.449,1.677,1.129,1.562,0.683,1.633,1.192,0.701,1.564,1.250,1.001,2.359,0.099,2.597,1.446
