Code,Name,Signature,Ratification,Kind,Date-Of-Effect,Emissions,Percentage,Year
AFG,Afghanistan,2016-04-22,2017-02-15,Ratification,2017-03-17,19328,0.05,2005
ALB,Albania,2016-04-22,2016-09-21,Ratification,2016-11-04,6717,0.02,2000
DZA,Algeria,2016-04-22,2016-10-20,Ratification,2016-11-19,111023,0.3,2000
AND,Andorra,2016-04-22,2017-03-24,Ratification,2017-04-23,522,0.0,2011
AGO,Angola,2016-04-22,,,,61611,0.17,2005
ATG,Antigua and Barbuda,2016-04-22,2016-09-21,Ratification,2016-11-04,598,0.0,2000
ARG,Argentina,2016-04-22,2016-09-21,Ratification,2016-11-04,332499,0.89,2010
ARM,Armenia,2016-09-20,2017-03-23,Ratification,2017-04-22,7464,0.02,2010
AUS,Australia,2016-04-22,2016-11-09,Ratification,2016-12-09,541924,1.46,2013
AUT,Austria,2016-04-22,2016-10-05,Ratification,2016-11-04,79599,0.21,2013
AZE,Azerbaijan,2016-04-22,2017-01-09,Ratification,2017-02-08,48209,0.13,2010
BHS,Bahamas,2016-04-22,2016-08-22,Ratification,2016-11-04,688,0.0,2000
BHR,Bahrain,2016-04-22,2016-12-23,Ratification,2017-01-22,22373,0.06,2000
BGD,Bangladesh,2016-04-22,2016-09-21,Ratification,2016-11-04,99442,0.27,2005
BRB,Barbados,2016-04-22,2016-04-22,Ratification,2016-11-04,4056,0.01,1997
BLR,Belarus,2016-04-22,2016-09-21,Acceptance,2016-11-04,89283,0.24,2012
BEL,Belgium,2016-04-22,2017-04-06,Ratification,2017-05-06,119424,0.32,2013
BLZ,Belize,2016-04-22,2016-04-22,Ratification,2016-11-04,1133,0.0,2000
BEN,Benin,2016-04-22,2016-10-31,Ratification,2016-11-30,6251,0.02,2000
BTN,Bhutan,2016-04-22,2017-09-19,Ratification,2017-10-19,1556,0.0,2000
BOL,Bolivia (Plurinational State of),2016-04-22,2016-10-05,Ratification,2016-11-04,43665,0.12,2004
BIH,Bosnia and Herzegovina,2016-04-22,2017-03-16,Ratification,2017-04-15,31095,0.08,2011
BWA,Botswana,2016-04-22,2016-11-11,Ratification,2016-12-11,6140,0.02,2000
BRA,Brazil,2016-04-22,2016-09-21,Ratification,2016-11-04,923544,2.48,2010
BRN,Brunei Darussalam,2016-04-22,2016-09-21,Ratification,2016-11-04,,,
BGR,Bulgaria,2016-04-22,2016-11-29,Ratification,2016-12-29,55893,0.15,2013
BFA,Burkina Faso,2016-04-22,2016-11-11,Ratification,2016-12-11,21593,0.06,2007
BDI,Burundi,2016-04-22,2018-01-17,Ratification,2018-02-16,26474,0.07,2005
CPV,Cabo Verde,2016-04-22,2017-09-21,Ratification,2017-10-21,448,0.0,2000
KHM,Cambodia,2016-04-22,2017-02-06,Ratification,2017-03-08,12763,0.03,1994
CMR,Cameroon,2016-04-22,2016-07-29,Ratification,2016-11-04,165725,0.45,1994
CAN,Canada,2016-04-22,2016-10-05,Ratification,2016-11-04,726051,1.95,2013
CAF,Central African Republic,2016-04-22,2016-10-11,Ratification,2016-11-10,5225,0.01,2010
TCD,Chad,2016-04-22,2017-01-12,Ratification,2017-02-11,23427,0.06,2000
CHL,Chile,2016-09-20,2017-02-10,Ratification,2017-03-12,91576,0.25,2010
CHN,China,2016-04-22,2016-09-03,Ratification,2016-11-04,7465862,20.09,2005
COL,Colombia,2016-04-22,2018-07-12,Ratification,2018-08-11,153885,0.41,2004
COM,Comoros,2016-04-22,2016-11-23,Ratification,2016-12-23,551,0.0,2000
COG,Congo,2016-04-22,2017-04-21,Ratification,2017-05-21,2065,0.01,2000
COK,Cook Islands,2016-06-24,2016-09-01,Ratification,2016-11-04,70,0.0,2006
CRI,Costa Rica,2016-04-22,2016-10-13,Ratification,2016-11-12,12384,0.03,2010
HRV,Croatia,2016-04-22,2017-05-24,Ratification,2017-06-23,24493,0.07,2013
CUB,Cuba,2016-04-22,2016-12-28,Ratification,2017-01-27,36340,0.1,2002
CYP,Cyprus,2016-04-22,2017-01-04,Ratification,2017-02-03,8319,0.02,2013
CZE,Czechia,2016-04-22,2017-10-05,Ratification,2017-11-04,127144,0.34,2013
CIV,Côte d'Ivoire,2016-04-22,2016-10-25,Ratification,2016-11-24,271198,0.73,2000
PRK,Democratic People's Republic of Korea,2016-04-22,2016-08-01,Ratification,2016-11-04,87330,0.23,2002
COD,Democratic Republic of the Congo,2016-04-22,2017-12-13,Ratification,2018-01-12,22434,0.06,2010
DNK,Denmark,2016-04-22,2016-11-01,Approval,2016-12-01,56001,0.15,2013
DJI,Djibouti,2016-04-22,2016-11-11,Ratification,2016-12-11,1072,0.0,2000
DMA,Dominica,2016-04-22,2016-09-21,Ratification,2016-11-04,182,0.0,2005
DOM,Dominican Republic,2016-04-22,2017-09-21,Ratification,2017-10-21,26433,0.07,2000
ECU,Ecuador,2016-07-26,2017-09-20,Ratification,2017-10-20,247990,0.67,2006
