Code,Year,Emissions-Transfers
ALB,1990,-0.029
ALB,1991,-0.077
ALB,1992,-0.089
ALB,1993,-0.081
ALB,1994,-0.101
ALB,1995,-0.103
ALB,1996,-0.235
ALB,1997,-0.176
ALB,1998,-0.208
ALB,1999,-0.190
ALB,2000,-0.202
ALB,2001,-0.217
ALB,2002,-0.364
ALB,2003,-0.362
ALB,2004,-0.325
ALB,2005,-0.408
ALB,2006,-0.422
ALB,2007,-0.428
ALB,2008,-0.486
ALB,2009,-0.551
ALB,2010,-0.428
ALB,2011,-0.311
ALB,2012,-0.320
ALB,2013,-0.266
ALB,2014,-0.221
ALB,2015,-0.485
ALB,2016,-0.466
ARE,1990,-1.024
ARE,1991,-1.219
ARE,1992,-1.623
ARE,1993,-0.785
ARE,1994,-0.741
ARE,1995,-1.496
ARE,1996,-3.894
ARE,1997,-3.960
ARE,1998,-3.189
ARE,1999,-0.782
ARE,2000,1.096
ARE,2001,-2.185
ARE,2002,-3.731
ARE,2003,-7.321
ARE,2004,-9.993
ARE,2005,-13.663
ARE,2006,-12.775
ARE,2007,-19.356
ARE,2008,-24.868
ARE,2009,-9.467
ARE,2010,-10.527
ARE,2011,-13.713
ARE,2012,-10.953
ARE,2013,-13.766
ARE,2014,-10.656
ARE,2015,-6.070
ARE,2016,-4.083
ARG,1990,2.000
ARG,1991,1.136
ARG,1992,0.844
ARG,1993,0.381
ARG,1994,0.588
ARG,1995,1.603
ARG,1996,1.388
ARG,1997,0.324
ARG,1998,0.337
ARG,1999,2.996
ARG,2000,3.671
ARG,2001,4.504
ARG,2002,7.698
ARG,2003,5.667
ARG,2004,6.232
ARG,2005,5.820
ARG,2006,5.107
ARG,2007,3.487
ARG,2008,3.050
ARG,2009,3.855
ARG,2010,2.557
ARG,2011,1.435
ARG,2012,1.161
ARG,2013,-0.568
ARG,2014,-0.431
ARG,2015,-0.070
ARG,2016,0.573
ARM,1990,0.417
ARM,1991,0.476
ARM,1992,0.477
ARM,1993,0.159
ARM,1994,0.212
ARM,1995,0.162
ARM,1996,-0.140
ARM,1997,-0.236
ARM,1998,-0.235
ARM,1999,-0.634
ARM,2000,-0.148
ARM,2001,-0.256
ARM,2002,-0.173
ARM,2003,-0.253
ARM,2004,-0.233
ARM,2005,-0.288
ARM,2006,-0.264
ARM,2007,-0.659
ARM,2008,-0.265
ARM,2009,-0.439
ARM,2010,-0.365
ARM,2011,-0.223
ARM,2012,-0.174
ARM,2013,-0.188
ARM,2014,-0.170
ARM,2015,-0.640
ARM,2016,-0.681
AUS,1990,11.818
AUS,1991,12.712
AUS,1992,13.299
AUS,1993,14.328
AUS,1994,13.708
AUS,1995,15.197
