Code,Party,Kind,Language,Filename,SubmissionDate,EncodedAbsUrl
AFG,Afghanistan,First NDC,English,AFG_Afghanistan_First_NDC_English.pdf,2016-11-23,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Afghanistan%20First/INDC_AFG_20150927_FINAL.pdf
ALB,Albania,First NDC,English,ALB_Albania_First_NDC_English.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Albania%20First/Albania%20First.pdf
DZA,Algeria,First NDC,English,DZA_Algeria_First_NDC_Translation_English.pdf,2016-10-20,"https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Algeria%20First/Algeria%20-%20INDC%20(English%20unofficial%20translation)%20September%2003,2015.pdf"
AND,Andorra,First NDC,French,AND_Andorra_First_NDC_French.pdf,2017-03-24,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Andorra%20First/Andorra%20INDC-CPDN.pdf
AGO,Angola,INDC,English,AGO_Angola_INDC_English.pdf,2015-11-29,http://www4.unfccc.int/Submissions/INDC/Published%20Documents/Angola/1/INDC%20Angola%20deposito.pdf
ATG,Antigua and Barbuda,First NDC,English,ATG_Antigua-and-Barbuda_First_NDC_English.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Antigua%20and%20Barbuda%20First/Antigua%20and%20Barbuda%20First.pdf
ARG,Argentina,First NDC,English,ARG_Argentina_First_NDC_Translation_English.pdf,2016-11-17,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Argentina%20First/Traducción%20NDC_Argentina.pdf
ARM,Armenia,First NDC,English,ARM_Armenia_First_NDC_English.pdf,2017-03-23,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Armenia%20First/INDC-Armenia.pdf
AUS,Australia,First NDC,English,AUS_Australia_First_NDC_English.pdf,2016-11-09,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Australia%20First/Australias%20Intended%20Nationally%20Determined%20Contribution%20to%20a%20new%20Climate%20Change%20Agreement%20-%20August%202015.pdf
AZE,Azerbaijan,First NDC,English,AZE_Azerbaijan_First_NDC_English.pdf,2017-01-09,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Azerbaijan%20First/INDC%20Azerbaijan.pdf
BHS,Bahamas,First NDC,English,BHS_Bahamas_First_NDC_English.pdf,2016-10-31,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bahamas%20First/Bahamas_COP-22%20UNFCCC.pdf
BHR,Bahrain,First NDC,English,BHR_Bahrain_First_NDC_English.pdf,2016-12-30,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bahrain%20First/INDC_Kingdom_of_Bahrain.pdf
BGD,Bangladesh,First NDC,English,BGD_Bangladesh_First_NDC_English.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bangladesh%20First/INDC_2015_of_Bangladesh.pdf
BRB,Barbados,First NDC,English,BRB_Barbados_First_NDC_English.pdf,2016-04-22,"https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Barbados%20First/Barbados%20INDC%20FINAL%20September%20%2028,%202015.pdf"
BLR,Belarus,First NDC,English,BLR_Belarus_First_NDC_Translation_English.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belarus%20First/Belarus_INDC_Eng_25.09.2015.pdf
BLZ,Belize,First NDC,English,BLZ_Belize_First_NDC_English.pdf,2016-04-20,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belize%20First/BELIZE%27s%20%20NDC.pdf
BEN,Benin,First NDC,English,BEN_Benin_First_NDC_Translation_English.pdf,2018-09-09,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Benin%20First/CDN_BENIN_VERSION_ANGLAISE.pdf
BTN,Bhutan,First NDC,English,BTN_Bhutan_First_NDC_English.pdf,2017-09-19,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bhutan%20First/Bhutan-INDC-20150930.pdf
BOL,Bolivia (Plurinational State of),First NDC,English,BOL_Bolivia-Plurinational-State-of_First_NDC_Translation_English.pdf,2016-10-05,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bolivia%20(Plurinational%20State%20of)%20First/INDC-Bolivia-english.pdf
BIH,Bosnia and Herzegovina,First NDC,English,BIH_Bosnia-and-Herzegovina_First_NDC_English.pdf,2017-03-16,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bosnia%20and%20Herzegovina%20First/INDC%20Bosnia%20and%20Herzegovina.pdf
BWA,Botswana,First NDC,English,BWA_Botswana_First_NDC_English.pdf,2016-11-11,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Botswana%20First/BOTSWANA.pdf
BRA,Brazil,First NDC,English,BRA_Brazil_First_NDC_English.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brazil%20First/BRAZIL%20iNDC%20english%20FINAL.pdf
BRN,Brunei,INDC,English,BRN_Brunei_INDC_English.pdf,2015-12-01,http://www4.unfccc.int/Submissions/INDC/Published%20Documents/Brunei/1/Brunei%20Darussalam%20INDC_FINAL_30%20November%202015.pdf
BFA,Burkina Faso,First NDC,English,BFA_Burkina-Faso_First_NDC_Translation_English.pdf,2016-11-11,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Burkina%20Faso%20First/INDC%20Burkina_ENG.%20version_finale.pdf
BDI,Burundi,First NDC,English,BDI_Burundi_First_NDC_Translation_English.pdf,2018-01-17,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Burundi%20First/Burundi_INDC-english%20version.pdf
CPV,Cabo Verde,First NDC,English,CPV_Cabo-Verde_First_NDC_English.pdf,2017-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cabo%20Verde%20First/Cabo_Verde_INDC_.pdf
KHM,Cambodia,First NDC,English,KHM_Cambodia_First_NDC_English.pdf,2017-02-06,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cambodia%20First/Cambodia%27s%20INDC%20to%20the%20UNFCCC.pdf
CMR,Cameroon,First NDC,French,CMR_Cameroon_First_NDC_French.pdf,2016-07-29,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cameroon%20First/CPDN%20CMR%20Final.pdf
CAN,Canada,First NDC,English,CAN_Canada_First_NDC_Revised_English.pdf,2017-05-11,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Canada%20First/Canada%20First%20NDC-Revised%20submission%202017-05-11.pdf
CAF,Central African Republic,First NDC,English,CAF_Central-African-Republic_First_NDC_Translation_English.pdf,2016-10-11,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Central%20African%20Republic%20First/INDC_République%20Centrafricaine_EN.pdf
TCD,Chad,First NDC,English,TCD_Chad_First_NDC_Translation_English.pdf,2017-01-12,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chad%20First/INDC%20Chad_Official%20version_English.pdf
CHL,Chile,First NDC,English,CHL_Chile_First_NDC_Translation_English.pdf,2017-02-10,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chile%20First/INDC%20Chile%20english%20version.pdf
CHN,China,First NDC,English,CHN_China_First_NDC_English.pdf,2016-09-03,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/China%20First/China%27s%20First%20NDC%20Submission.pdf
COL,Colombia,First NDC,English,COL_Colombia_First_NDC_Translation_English.pdf,2018-07-12,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/Colombia%20iNDC%20Unofficial%20translation%20Eng.pdf
COM,Comoros,First NDC,French,COM_Comoros_First_NDC_French.pdf,2016-11-23,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Comoros%20First/INDC_Comores_Version_Francaise.pdf
COG,Congo,First NDC,French,COG_Congo_First_NDC_French.pdf,2017-04-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Congo%20First/NDC_Congo_RAPPORT.pdf
COK,Cook Islands,First NDC,English,COK_Cook-Islands_First_NDC_English.pdf,2016-09-01,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cook%20Islands%20First/Cook%20Islands%20INDCsFINAL7Nov.pdf
CRI,Costa Rica,First NDC,English,CRI_Costa-Rica_First_NDC_Translation_English.pdf,2016-10-13,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/INDC%20Costa%20Rica%20Version%202%200%20final%20ENG.pdf
CUB,Cuba,First NDC,Spanish,CUB_Cuba_First_NDC_Spanish.pdf,2016-12-30,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cuba%20First/Republic%20of%20Cuba-NDCs-Nov2015.pdf
CIV,Côte d'Ivoire,First NDC,French,CIV_Cote-d-Ivoire_First_NDC_French.pdf,2016-10-25,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Côte%20d%27Ivoire%20First/INDC_CI_22092015.pdf
PRK,Democratic People's Republic of Korea,First NDC,English,PRK_Democratic-People-s-Republic-of-Korea_First_NDC_English.pdf,2016-10-03,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Democratic%20People%27s%20Republic%20of%20Korea%20First/DPRK-INDC%20by%202030.pdf
COD,Democratic Republic of the Congo,First NDC,French,COD_Democratic-Republic-of-the-Congo_First_NDC_French.pdf,2017-12-13,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Democratic%20Republic%20of%20the%20Congo%20First/CPDN%20-%20Rép%20Dém%20du%20Congo.pdf
DJI,Djibouti,First NDC,English,DJI_Djibouti_First_NDC_Translation_English.pdf,2016-11-11,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Djibouti%20First/INDC-Djibouti_ENG.pdf
DMA,Dominica,First NDC,English,DMA_Dominica_First_NDC_English.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominica%20First/Commonwealth%20of%20Dominica-%20Intended%20Nationally%20Determined%20Contributions%20(INDC).pdf
DOM,Dominican Republic,First NDC,English,DOM_Dominican-Republic_First_NDC_Translation_English.pdf,2017-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominican%20Republic%20First/INDC-DR%20August%202015%20(unofficial%20translation).pdf
ECU,Ecuador,First NDC,Spanish,ECU_Ecuador_First_NDC_Spanish.pdf,2019-03-29,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ecuador%20First/Primera%20NDC%20Ecuador.pdf
EGY,Egypt,First NDC,English,EGY_Egypt_First_NDC_English.pdf,2017-06-29,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Egypt%20First/Egyptian%20INDC.pdf
SLV,El Salvador,First NDC,Spanish,SLV_El-Salvador_First_NDC_Revised_Spanish.pdf,2017-10-30,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/El%20Salvador%20First/EL%20SALVADOR-INTENDED%20NATIONALLY%20DETERMINED%20CONTRIBUTION%20B.pdf
GNQ,Equatorial Guinea,First NDC,Spanish,GNQ_Equatorial-Guinea_First_NDC_Spanish.pdf,2018-10-30,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Equatorial%20Guinea%20First/República%20de%20Guinea%20Ecuatorial_INDC.pdf
ERI,Eritrea,First NDC,English,ERI_Eritrea_First_NDC_English.pdf,2018-06-19,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Eritrea%20First/NRC%20Eritrea.pdf
SWZ,Eswatini,First NDC,English,SWZ_Eswatini_First_NDC_English.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Eswatini%20First/Eswatini%27s%20INDC.pdf
ETH,Ethiopia,First NDC,English,ETH_Ethiopia_First_NDC_English.pdf,2017-03-09,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ethiopia%20First/INDC-Ethiopia-100615.pdf
EUU,European Union,First NDC,English,EUU_European-Union_First_NDC_English.pdf,2016-10-05,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/European%20Union%20First/LV-03-06-EU%20INDC.pdf
FJI,Fiji,First NDC,English,FJI_Fiji_First_NDC_English.pdf,2016-04-22,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Fiji%20First/FIJI_iNDC_Final_051115.pdf
FRA,France,First NDC,French,FRA_France_First_NDC_French.pdf,2016-10-05,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/France%20First/CDN%20France%20PTOM%20-%205%20octobre%202016.pdf
GAB,Gabon,First NDC,French,GAB_Gabon_First_NDC_French.pdf,2016-11-02,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Gabon%20First/20150331%20INDC%20Gabon.pdf
GMB,Gambia,First NDC,English,GMB_Gambia_First_NDC_English.pdf,2016-11-07,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Gambia%20First/The%20INDC%20OF%20THE%20GAMBIA.pdf
GEO,Georgia,First NDC,English,GEO_Georgia_First_NDC_English.pdf,2017-05-08,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Georgia%20First/INDC_of_Georgia.pdf
GHA,Ghana,First NDC,English,GHA_Ghana_First_NDC_English.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ghana%20First/GH_INDC_2392015.pdf
GRD,Grenada,First NDC,English,GRD_Grenada_First_NDC_English.pdf,2016-04-22,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Grenada%20First/Grenada%20INDC.pdf
GTM,Guatemala,First NDC,Spanish,GTM_Guatemala_First_NDC_Spanish.pdf,2017-01-25,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guatemala%20First/Gobierno%20de%20Guatemala%20INDC-UNFCCC%20Sept%202015.pdf
GIN,Guinea,First NDC,English,GIN_Guinea_First_NDC_Translation_English.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guinea%20First/INDC_Guinea_english_version%20UNFCCC.pdf
GNB,Guinea Bissau,First NDC,English,GNB_Guinea-Bissau_First_NDC_English.pdf,2018-10-22,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guinea%20Bissau%20First/GUINEA-BISSAU_INDC_Version%20to%20the%20UNFCCC%20(eng).pdf
GUY,Guyana,First NDC,English,GUY_Guyana_First_NDC_English.pdf,2016-05-20,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guyana%20First/Guyana%27s%20revised%20NDC%20-%20Final.pdf
HTI,Haiti,First NDC,French,HTI_Haiti_First_NDC_French.pdf,2017-07-31,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Haiti%20First/CPDN_Republique%20d%27Haiti.pdf
HND,Honduras,First NDC,Spanish,HND_Honduras_First_NDC_Spanish.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Honduras%20First/Honduras%20INDC_esp.pdf
ISL,Iceland,First NDC,English,ISL_Iceland_First_NDC_English.pdf,2016-09-21,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Iceland%20First/INDC-ICELAND.pdf
