Code,Year,Consumption-Emissions
ALB,1990,1.533
ALB,1991,1.246
ALB,1992,0.775
ALB,1993,0.718
ALB,1994,0.626
ALB,1995,0.672
ALB,1996,0.785
ALB,1997,0.597
ALB,1998,0.686
ALB,1999,1.004
ALB,2000,1.026
ALB,2001,1.096
ALB,2002,1.387
ALB,2003,1.533
ALB,2004,1.461
ALB,2005,1.568
ALB,2006,1.485
ALB,2007,1.499
ALB,2008,1.679
ALB,2009,1.745
ALB,2010,1.682
ALB,2011,1.740
ALB,2012,1.659
ALB,2013,1.647
ALB,2014,1.780
ALB,2015,0.784
ALB,2016,0.765
ARE,1990,15.207
ARE,1991,16.766
ARE,1992,17.477
ARE,1993,18.778
ARE,1994,20.684
ARE,1995,20.760
ARE,1996,15.091
ARE,1997,15.317
ARE,1998,25.413
ARE,1999,22.155
ARE,2000,29.600
ARE,2001,29.841
ARE,2002,26.830
ARE,2003,36.457
ARE,2004,40.874
ARE,2005,45.337
ARE,2006,46.556
ARE,2007,56.342
ARE,2008,67.779
ARE,2009,55.270
ARE,2010,54.381
ARE,2011,58.829
ARE,2012,59.054
ARE,2013,60.318
ARE,2014,68.297
ARE,2015,68.805
ARE,2016,68.442
ARG,1990,28.583
ARG,1991,30.797
ARG,1992,32.249
ARG,1993,31.778
ARG,1994,32.793
ARG,1995,33.293
ARG,1996,35.427
ARG,1997,37.310
ARG,1998,37.791
ARG,1999,37.087
ARG,2000,35.090
ARG,2001,31.962
ARG,2002,26.312
ARG,2003,31.165
ARG,2004,36.743
ARG,2005,38.388
ARG,2006,42.735
ARG,2007,44.284
ARG,2008,48.520
ARG,2009,45.221
ARG,2010,48.689
ARG,2011,50.824
ARG,2012,51.295
ARG,2013,52.341
ARG,2014,56.069
ARG,2015,56.761
ARG,2016,56.308
ARM,1990,1.367
ARM,1991,1.244
ARM,1992,1.112
ARM,1993,0.538
ARM,1994,0.526
ARM,1995,0.768
ARM,1996,0.839
ARM,1997,1.118
ARM,1998,1.152
ARM,1999,1.456
ARM,2000,1.093
ARM,2001,1.222
ARM,2002,1.003
ARM,2003,1.188
ARM,2004,1.227
ARM,2005,1.475
ARM,2006,1.459
ARM,2007,2.040
ARM,2008,1.781
ARM,2009,1.628
ARM,2010,1.515
ARM,2011,1.564
ARM,2012,1.727
ARM,2013,1.687
ARM,2014,1.678
ARM,2015,0.698
ARM,2016,0.739
AUS,1990,64.171
AUS,1991,63.673
AUS,1992,64.461
AUS,1993,64.611
AUS,1994,66.536
AUS,1995,68.158
AUS,1996,68.968
